,IC objective incomplete beta
0,-0.00692505384554059
1,-0.0055382330944783766
2,-0.0035275229677465387
3,-0.021846773055179493
4,-0.007407529008567719
5,-0.009778443948235394
6,-4.360107663768308e-08
7,-0.023282385294633296
8,-1.471831732872209e-07
9,-0.020581845566536947
10,-0.006873479352181219
11,-0.015480504551391803
12,-1.4666088864484933e-08
13,-2.8177317884596936e-08
14,-4.814272523871439e-08
15,-0.0033958130186470814
16,-1.41813336668816e-07
17,-2.3837437820553378e-08
18,-0.011685351599588603
19,-0.0010470705502016035
20,-0.008269691702015991
21,-0.00758505432529898
22,-0.0007734357987872118
23,-0.011535853723815727
24,-0.008807950265251297
25,-0.010636837679684433
26,-1.653823138748976e-07
27,-7.09490326271645e-09
28,-0.012010300263294683
29,-0.005792885403784133
30,-3.439529327585893e-08
31,-0.02782735492660555
32,-0.025503879088545803
33,-0.0015974926525167787
34,-1.8232391568118173e-08
35,-0.010760454423288884
36,-0.0012980643359432182
37,-0.017843214565508088
38,-3.7534928290340384e-08
39,-0.022418944340872732
40,-0.006093853410157401
41,-0.0036752606746521454
42,-2.9482258799789776e-08
43,-1.0853228330794995e-06
44,-0.0003643911880077314
45,-0.007321044839552771
46,-0.01096480353677307
47,-0.02278280820728771
48,-2.0369877229329006e-08
49,-0.005869948769642611
50,-0.0014331382890033675
51,-0.01194169954470255
52,-0.01054140905671552
53,-0.01635859719914509
54,-0.004529546084381452
55,-0.014075518471117434
56,-0.0032340439732151853
57,-1.2794666613752502e-08
58,-4.908200490591633e-07
59,-0.007911154922611865
60,-9.084589309095515e-08
61,-0.009025164936473177
62,-1.903884104876767e-08
63,-0.026935161740826444
64,-0.015116074224805213
65,-0.0156097839821628
66,-0.0024784407590482367
67,-1.0317860284485921e-07
68,-0.02318793934861701
69,-0.002426357279146348
70,-1.402635370382173e-07
71,-1.0968897651854156e-06
72,-0.0034622918155794995
73,-0.0120126344966335
74,-4.368833438060589e-08
75,-0.024052085377547803
76,-0.008242355900748125
77,-1.2224581566590717e-08
78,-0.001939798128214388
79,-0.0024119213941103815
80,-0.019456170971045638
81,-2.5293058514657046e-07
82,-1.4418937858586692e-07
83,-1.7563967350660768e-08
84,-0.024677796996133056
85,-0.008199565783289875
86,-0.0037602199838629342
87,-0.012081088353213578
88,-0.023350458512285153
89,-4.3095408999342905e-08
90,-0.013031913181319058
91,-0.009973926217440882
92,-1.4450589841243568e-07
93,-0.00041764782034886896
94,-0.0072030414603568805
95,-0.012658766863671435
96,-0.003309686653930536
97,-0.002199609486076667
98,-6.994715956384414e-08
99,-0.028075142314485543
100,-1.4035939028726525e-07
101,-0.016714790776021275
102,-2.087662427106255e-08
103,-0.01645125398643553
104,-0.0005462962451210885
105,-5.310428224528787e-09
106,-0.0029982680861608767
107,-0.005461552140393896
108,-0.01138330007090889
109,-3.633531620427423e-07
110,-0.007252323613524779
111,-1.6090533396551737e-08
112,-0.01322925304285536
113,-0.011383402555867783
114,-0.023221680128723457
115,-0.006928138575925145
116,-0.0030372598997053077
117,-5.904525979744987e-08
118,-0.003145953319494952
119,-0.009296870490147253
120,0.0013146424977008553
121,-0.007023204820833446
122,-0.0017457289905322183
123,-0.017774156304141357
124,-0.007241318176867141
125,-0.030303559166947398
126,-1.8734436498677542e-07
127,-0.007837650000948859
128,-0.028211286918288638
129,-0.02519218342859505
130,-0.007961997539322783
131,-0.0017219683407415217
132,-0.008365166964204711
133,-0.01262281217201326
134,-1.0255358196127879e-06
135,-0.01721110969223577
136,-2.3019951374430865e-07
137,-0.012759309707663162
138,-0.007177965026542513
139,-0.012181450925515489
140,-0.010045351084497663
141,-0.029522419342399926
142,-0.01954031622684985
143,-1.4493792176210516e-07
144,-0.007994535606325194
145,-0.0035363923047727302
146,-1.5686779752218224e-07
147,-1.512925063241533e-07
148,-1.2112618081929434e-08
149,-7.718153028514507e-07
150,-4.024059443543477e-08
151,-0.016507757640066078
152,-0.006101809403947856
153,-0.010000450571556256
154,-0.01995011776204189
155,-0.010347866562813515
156,-1.2323210814268963e-08
157,-3.172194051348942e-08
158,-0.0021436123820902787
159,-2.7104783089151043e-09
160,-2.7514515142960093e-07
161,-0.00219884943328164
162,-0.017270449697932563
163,-3.351208203432794e-07
164,-1.1615958237126444e-07
165,-0.022010300598322808
166,-4.094948086724833e-07
167,-2.1835059676726765e-08
168,-0.00516958778099842
169,-0.008927071657640645
170,-0.020701065103968342
171,-0.001780196795427869
172,-0.0061665849578680446
173,-0.01945200233185172
174,-0.019571742013114967
175,-0.011948201923543162
176,-0.0004588047503790573
177,-0.030433093499406014
178,-9.042014501217918e-08
179,-0.004666196632703094
180,-0.01724993676636821
181,-0.015174231172185049
182,-0.02399106431092286
183,-5.2949415429002167e-08
184,-0.02426001920313699
185,-0.004652315278888638
186,-9.856999203934324e-09
187,-0.02891623990924898
188,-0.023589160718063898
189,-0.021701857696095395
190,-7.051088137404985e-08
191,-0.02173083844610866
192,-0.018448888387437717
193,-0.010279209821548198
194,-5.937683215482401e-07
