,IC objective incomplete normal
0,-2.6342646865685264e-08
1,-8.492399897698776e-09
2,-2.69714580622096e-08
3,-6.904913201965534e-09
4,-7.858018817249663e-09
5,-1.1866431280011557e-07
6,-7.205578000823285e-09
7,-2.1955769989782196e-08
8,-6.133908330835965e-09
9,-1.0641816719047848e-07
10,-1.249931170736094e-07
11,-1.4176706617151632e-08
12,-3.375043864932442e-09
13,-1.4576859646335047e-09
14,-5.040548933780942e-09
15,-4.229818407156817e-09
16,-1.0836908418195734e-08
17,-2.198977664875028e-08
18,-2.0015646966133984e-08
19,-3.8030133711980446e-09
20,-1.3474870866986119e-09
21,-6.261296759357336e-08
22,-5.325223934249957e-10
23,-2.3164998367986634e-07
24,-6.2109794090443525e-09
25,-5.829230610065693e-08
26,-7.302896340277075e-08
27,-5.5646157182950555e-08
28,-1.894117145627468e-08
29,-1.7050095881202866e-08
30,-1.2943789639219676e-07
31,-4.8133605137671265e-09
32,-1.98649547898094e-08
33,-3.530146149699532e-08
34,-1.8941611385388384e-08
35,-4.2624536934729257e-08
36,-1.3295012985632186e-07
37,-1.3759602624447433e-08
38,-3.244263032125279e-08
39,-1.2704731840126908e-07
40,-2.2003726383019786e-09
41,-2.9568090336514983e-08
42,-3.828604356624949e-08
43,-6.495196924483054e-08
44,-3.010971279624804e-09
45,-6.150707108055033e-08
46,-8.292768378771535e-09
47,-9.060383437297702e-08
48,-3.5091781530246967e-08
49,-1.2158943481460207e-07
50,-1.778675059694577e-09
51,-2.7433751914686845e-08
52,-1.9586565775569537e-08
53,-5.4280965614704085e-08
54,-1.3798444570042789e-08
55,-4.100455850428615e-09
56,-2.3635676666278528e-09
57,-1.1121397428251763e-08
58,-2.9902094921053924e-09
59,-2.8338401125000763e-07
60,-7.244543981262895e-08
61,-1.927692618534148e-08
62,-1.1125499643495814e-08
63,-2.7647415397971425e-08
64,-3.2180503426421346e-08
65,-8.5944046654384e-08
66,-3.700074575930032e-09
67,-5.0823356334341625e-08
68,-5.3029328044623e-09
69,-1.2761277667756788e-08
70,-1.257606808678787e-07
71,-3.844396386398149e-09
72,-1.932345836513314e-09
73,-3.230908210374954e-08
74,-5.034250695921704e-08
75,-1.2000666146786193e-08
76,-2.5935979097468245e-07
