,IC objective incomplete uniform
0,-5.546958103439855e-08
1,-6.61338194884197e-08
2,-0.009604513266640465
3,-0.02975353692302971
4,-0.0003112251007048328
5,-0.026101685587091684
6,-4.020434806661237e-08
7,-0.015614271050346509
8,-1.4866471254391465e-08
9,-0.002035532706520357
10,-0.008828228974464655
11,-1.8288696340928788e-08
12,-1.1272910157311636e-08
13,-0.026160911092505876
14,-0.030669832698176677
15,-2.4412986772630195e-07
16,-0.0035990231209074657
17,-0.0057709770271529475
18,-2.396319632816e-07
19,-0.00491555916714486
20,-0.020151456080740166
21,-0.02121952666440574
22,-0.001966537719979006
23,-1.0235984567950268e-08
24,-1.8254374302510795e-08
25,-0.0039274510378225005
26,-0.005210411072572853
27,-0.007372727413081479
28,-7.143054611264454e-08
29,-5.702155657845762e-08
30,-7.34544761024491e-08
31,-0.0177363268605889
32,-0.01762530963670494
33,-0.02917690702589194
34,-0.004897539708264646
35,-0.02708421296659854
36,-0.0025696122174914933
37,-0.011445624460247166
38,-0.030415073479014267
39,-0.009621969367548907
40,-0.005035038292816749
41,-2.154734846320081e-08
42,-8.328261966737145e-08
43,-0.003953524765275167
44,-1.385285106396686e-07
45,-0.027813946705662444
46,-7.236500034050227e-09
47,-0.012207124998379674
48,-1.3411474736939353e-08
49,-0.024892040233262736
50,-0.0026742569858698197
51,-0.01938733519747341
52,-0.01341668626761289
53,-1.2175371241239704e-08
54,-1.390034419843087e-07
55,-0.0007586739120728839
56,-9.872649532840311e-08
57,-0.003933110350891082
58,-0.02426286901018581
59,-5.929371256017198e-08
60,-0.0007783392040126479
61,-0.00462489790361473
62,-4.140141934463532e-08
63,-0.020037034170513567
64,-0.024704614521376997
65,-0.004596352315666598
66,-0.018529040594144505
67,-1.2403856745720934e-06
68,-0.002365426081717735
69,-0.02036311957547547
70,-0.008354257601683823
71,-0.02006647665594275
72,-0.00850409217372548
73,-0.0010452919021303852
74,-0.014063138341783318
75,-2.655274866293317e-08
76,-0.00017314503032578343
77,-1.7719673384744024e-07
78,-3.380161587890376e-08
79,-0.007072454198143237
80,-1.3455274608436907e-07
81,-0.006000389369399768
82,-0.004353687594645228
83,-0.020853077656335577
84,-0.0005056542281680462
85,-0.007929261316703441
86,-0.000632790361980859
87,-0.02169684543928831
88,-1.9216891505112957e-07
89,-0.009203849321759288
90,-0.003594957676316887
91,-0.005826072539832443
92,-0.0003698815582066285
93,-2.2311703347682056e-07
94,-0.023893528697834433
95,-0.003247839415681234
96,-0.004961696406850674
97,-0.005526025886703609
98,-0.008259714933477023
99,-2.3005028160310597e-07
100,-0.0003150328632000586
101,-6.175745440271284e-09
102,-0.004192991386150181
103,-0.004508104594277735
104,-0.0026691017615416593
105,-0.012599499225730114
106,-1.4966159356949446e-08
107,-1.2491763877902258e-08
108,-0.0024454880050996156
109,-0.015491297464742872
110,-0.018044319460862174
111,-5.890279300122569e-08
112,-2.5889612247150405e-07
113,-3.1459509318053636e-08
114,-0.002640943478428409
115,-0.005618472608421377
116,-0.006676895361360742
117,-0.026278950910403047
118,-0.018111943281004867
119,-0.016319280496876195
120,-0.00886779548012841
121,-2.145736135066436e-08
122,-8.312081024261809e-08
123,-0.030435202595198465
124,-2.424849311934321e-07
125,-0.0035305367847745903
126,-7.313988146322465e-08
127,-0.006064207577233622
128,-2.430703527633888e-07
129,-0.0062428503464347805
130,-0.018267848172938136
131,-0.019158812116501393
132,-0.027480190986364263
133,-0.004600736688027228
134,-0.0048807271398842375
135,-0.01803478278859987
136,-0.0002749848342615614
137,-8.822964582446492e-08
138,-0.003464894455833104
139,-3.5734748761992803e-09
140,-0.005210527801228768
141,-0.019261942803105808
142,-9.464288569627423e-08
143,-0.029343351326133
144,-1.1738307877831268e-08
145,-0.009596532905038778
146,-0.029569641184158627
147,-2.765066307207783e-07
148,-2.3415081073450903e-08
149,-8.638633183410319e-07
150,-3.258477577432658e-08
151,-0.027134721726603993
152,-0.0016879986479985676
153,-0.0017141754407931633
154,-0.013307678363745948
155,-0.01574979426967497
156,-0.009559365252915212
157,-0.013340217871077765
158,-0.003287844925607307
159,-0.008206828807253095
160,-0.006056437707859323
161,-0.023492371226699112
162,-0.0004265521616677819
163,-0.017892167979063123
164,-4.5363195388491714e-07
165,-0.004297020696652229
166,-0.0013201388106969276
167,-0.020657541243745327
168,-0.010945311142711509
169,-0.02573903749790581
170,-0.010739719075772987
171,-0.027375726987033583
172,-3.500204220991782e-08
173,-0.01530161589023574
174,-6.082138117307177e-09
175,-0.012349122375499821
176,-0.003305778437926232
177,-8.81339641591348e-05
178,-0.023307270387731192
179,-2.435989942495883e-07
180,-0.010897973414800054
181,-0.00847666993452007
182,-0.014660364689593119
183,-3.176888035742141e-05
184,-0.0058613565547091665
185,-4.1266989265663647e-08
186,-3.1112784326634503e-07
187,-1.181900468550944e-07
188,-1.7085183048112762e-07
189,-5.838242575768642e-06
190,-1.9984295398569193e-08
191,-0.005635202071965037
192,-0.0017601434271025166
193,-0.02650226035314334
194,-0.012407836634021837
195,-0.01114259308227556
196,-0.024320194554932784
197,-0.011101211185543204
198,-0.003936939037550465
199,-1.3389107783684353e-08
200,-0.025228428346716632
201,-0.024476450517425398
202,-8.780285473494378e-07
203,-2.4277084438279027e-07
204,-0.022510025447150705
205,-0.01318805396665231
206,-7.655403336879925e-07
207,-0.0008942239955190663
208,-9.830030098249593e-08
209,-0.0053444103581679284
210,-0.01940811509507702
211,-0.014574990970268212
212,-0.026670439823954152
213,-5.1270799417456034e-08
214,-0.002432899029650962
215,-3.5213994172292925e-08
216,-0.012886227534103395
217,-0.0052913596943293265
218,-0.005704866847976935
219,-1.4858580391651277e-08
220,-0.015437571973136048
221,-1.4770804961951482e-07
222,-1.2749179454274635e-08
223,-0.0026139774064890178
224,-0.01240850953083926
225,-0.008796339020978212
226,-0.0073210784416502354
227,-0.013657147457843993
228,-2.6866500470013184e-08
229,-0.0010405478800009625
230,-0.027094628985066548
231,-0.015836920881631824
232,-1.3494094047699107e-08
233,-0.012710503061318759
234,-1.1786897824154756e-08
235,-0.0006860602612907534
236,-0.017805454242717123
237,-0.014379295952171621
238,-0.0019079329747339032
239,-0.016986522282592564
240,-0.01059321468151075
241,-2.725760272458125e-07
242,-0.02417911012105844
243,-0.009208410839582412
244,-2.754651131345627e-07
245,-4.924382880460076e-08
246,-0.008316540421447527
247,-1.2390874830140217e-06
248,-0.0016689334171639193
249,-4.1948098740523255e-09
250,-1.0001027248368146e-07
251,-2.7055765262718888e-08
252,-0.006492369055665265
253,-0.016659841561816702
254,-0.013970680329738026
255,-3.266010783548136e-08
256,-0.0018383264704914257
257,-0.008858385188758523
258,-9.650058901148122e-08
259,-0.007473385871308435
260,-0.0032801639452129184
261,-2.43288165768852e-07
262,-0.009152777222277681
263,-0.003935713690943282
264,-2.192604596432594e-08
265,-0.0027245058699974472
266,-0.0036332275892179125
267,-0.006370343402279027
268,-0.006796963519817818
269,-0.002921792064390009
270,-0.013228120766116092
271,-0.008808083834425919
272,-2.6741752542348123e-07
273,-0.01826519882986274
274,-0.01853466783007412
275,-2.2436305874097022e-07
276,-0.0015846629413297502
277,-0.020705780878790256
278,-3.793568683310083e-07
279,-0.0029178742581259993
280,-0.012611753387119295
281,-0.009240072273307212
