,IC objective only_IC
0,-1289.468350582995
1,-1289.468350582995
2,-1289.468350582995
3,-1289.468350582995
4,-1289.468350582995
5,-1289.468350582995
6,-1289.468350582995
7,-1289.468350582995
8,-1289.468350582995
9,-1289.468350582995
10,-1289.468350582995
11,-1289.468350582995
12,-1289.468350582995
13,-1289.468350582995
14,-1289.468350582995
15,-1289.468350582995
16,-1289.468350582995
17,-1289.468350582995
18,-1289.468350582995
19,-1289.468350582995
20,-1289.468350582995
21,-1289.468350582995
22,-1289.468350582995
23,-1289.468350582995
24,-1289.468350582995
25,-1289.468350582995
26,-1289.468350582995
27,-1289.468350582995
28,-1289.468350582995
29,-1289.468350582995
30,-1289.468350582995
31,-1289.468350582995
32,-1289.468350582995
33,-1289.468350582995
34,-1289.468350582995
35,-1289.468350582995
36,-1289.468350582995
37,-1289.468350582995
38,-1289.468350582995
39,-1289.468350582995
40,-1289.468350582995
41,-1289.468350582995
42,-1289.468350582995
43,-1289.468350582995
44,-1289.468350582995
45,-1289.468350582995
46,-1289.468350582995
47,-1289.468350582995
48,-1289.468350582995
49,-1289.468350582995
50,-1289.468350582995
51,-1289.468350582995
52,-1289.468350582995
53,-1289.468350582995
54,-1289.468350582995
55,-1289.468350582995
56,-1289.468350582995
57,-1289.468350582995
58,-1289.468350582995
59,-1289.468350582995
60,-1289.468350582995
61,-1289.468350582995
62,-1289.468350582995
63,-1289.468350582995
64,-1289.468350582995
65,-1289.468350582995
66,-1289.468350582995
67,-1289.468350582995
68,-1289.468350582995
69,-1289.468350582995
70,-1289.468350582995
71,-1289.468350582995
72,-1289.468350582995
73,-1289.468350582995
74,-1289.468350582995
75,-1289.468350582995
76,-1289.468350582995
77,-1289.468350582995
78,-1289.468350582995
79,-1289.468350582995
80,-1289.468350582995
81,-1289.468350582995
82,-1289.468350582995
83,-1289.468350582995
84,-1289.468350582995
85,-1289.468350582995
86,-1289.468350582995
87,-1289.468350582995
88,-1289.468350582995
89,-1289.468350582995
90,-1289.468350582995
91,-1289.468350582995
92,-1289.468350582995
93,-1289.468350582995
94,-1289.468350582995
95,-1289.468350582995
96,-1289.468350582995
97,-1289.468350582995
98,-1289.468350582995
99,-1289.468350582995
100,-1289.468350582995
101,-1289.468350582995
102,-1289.468350582995
103,-1289.468350582995
104,-1289.468350582995
105,-1289.468350582995
106,-1289.468350582995
107,-1289.468350582995
108,-1289.468350582995
109,-1289.468350582995
110,-1289.468350582995
111,-1289.468350582995
112,-1289.468350582995
113,-1289.468350582995
114,-1289.468350582995
115,-1289.468350582995
116,-1289.468350582995
117,-1289.468350582995
118,-1289.468350582995
119,-1289.468350582995
120,-1289.468350582995
121,-1289.468350582995
122,-1289.468350582995
123,-1289.468350582995
124,-1289.468350582995
125,-1289.468350582995
126,-1289.468350582995
127,-1289.468350582995
128,-1289.468350582995
129,-1289.468350582995
130,-1289.468350582995
131,-1289.468350582995
132,-1289.468350582995
133,-1289.468350582995
134,-1289.468350582995
135,-1289.468350582995
136,-1289.468350582995
137,-1289.468350582995
138,-1289.468350582995
139,-1289.468350582995
140,-1289.468350582995
141,-1289.468350582995
142,-1289.468350582995
143,-1289.468350582995
144,-1289.468350582995
145,-1289.468350582995
146,-1289.468350582995
147,-1289.468350582995
148,-1289.468350582995
149,-1289.468350582995
150,-1289.468350582995
151,-1289.468350582995
152,-1289.468350582995
153,-1289.468350582995
154,-1289.468350582995
155,-1289.468350582995
156,-1289.468350582995
157,-1289.468350582995
158,-1289.468350582995
159,-1289.468350582995
160,-1289.468350582995
161,-1289.468350582995
162,-1289.468350582995
163,-1289.468350582995
164,-1289.468350582995
165,-1289.468350582995
166,-1289.468350582995
167,-1289.468350582995
168,-1289.468350582995
169,-1289.468350582995
170,-1289.468350582995
171,-1289.468350582995
172,-1289.468350582995
173,-1289.468350582995
174,-1289.468350582995
175,-1289.468350582995
176,-1289.468350582995
177,-1289.468350582995
178,-1289.468350582995
179,-1289.468350582995
180,-1289.468350582995
181,-1289.468350582995
182,-1289.468350582995
183,-1289.468350582995
184,-1289.468350582995
185,-1289.468350582995
186,-1289.468350582995
187,-1289.468350582995
188,-1289.468350582995
189,-1289.468350582995
190,-1289.468350582995
191,-1289.468350582995
192,-1289.468350582995
193,-1289.468350582995
194,-1289.468350582995
195,-1289.468350582995
196,-1289.468350582995
197,-1289.468350582995
198,-1289.468350582995
199,-1289.468350582995
200,-1289.468350582995
201,-1289.468350582995
202,-1289.468350582995
203,-1289.468350582995
204,-1289.468350582995
205,-1289.468350582995
206,-1289.468350582995
207,-1289.468350582995
208,-1289.468350582995
209,-1289.468350582995
210,-1289.468350582995
211,-1289.468350582995
212,-1289.468350582995
213,-1289.468350582995
214,-1289.468350582995
215,-1289.468350582995
216,-1289.468350582995
217,-1289.468350582995
218,-1289.468350582995
219,-1289.468350582995
220,-1289.468350582995
221,-1289.468350582995
222,-1289.468350582995
223,-1289.468350582995
224,-1289.468350582995
225,-1289.468350582995
226,-1289.468350582995
227,-1289.468350582995
228,-1289.468350582995
229,-1289.468350582995
230,-1289.468350582995
231,-1289.468350582995
232,-1289.468350582995
233,-1289.468350582995
234,-1289.468350582995
235,-1289.468350582995
236,-1289.468350582995
237,-1289.468350582995
238,-1289.468350582995
239,-1289.468350582995
240,-1289.468350582995
241,-1289.468350582995
242,-1289.468350582995
243,-1289.468350582995
244,-1289.468350582995
245,-1289.468350582995
246,-1289.468350582995
247,-1289.468350582995
248,-1289.468350582995
249,-1289.468350582995
250,-1289.468350582995
251,-1289.468350582995
252,-1289.468350582995
253,-1289.468350582995
254,-1289.468350582995
255,-1289.468350582995
256,-1289.468350582995
257,-1289.468350582995
258,-1289.468350582995
259,-1289.468350582995
260,-1289.468350582995
261,-1289.468350582995
262,-1289.468350582995
263,-1289.468350582995
264,-1289.468350582995
265,-1289.468350582995
266,-1289.468350582995
267,-1289.468350582995
268,-1289.468350582995
269,-1289.468350582995
270,-1289.468350582995
271,-1289.468350582995
272,-1289.468350582995
273,-1289.468350582995
274,-1289.468350582995
275,-1289.468350582995
276,-1289.468350582995
277,-1289.468350582995
278,-1289.468350582995
279,-1289.468350582995
280,-1289.468350582995
281,-1289.468350582995
282,-1289.468350582995
283,-1289.468350582995
284,-1289.468350582995
285,-1289.468350582995
286,-1289.468350582995
287,-1289.468350582995
