,IC objective only_IC_PBP
0,-0.40947261820445724
1,-1.6829043482714066
2,-1.4032919927242635
3,-1.7077566756286016
4,-1.718108461026394
5,-1.6268416714325384
6,-1.9276814279458292
7,-1.306386495000264
8,-1.3360347920401687
9,-1.6971191724800057
10,-1.9246221903576477
11,-0.7200022792364945
12,-2.02422184559371
13,-1.20985302075229
14,-1.4653434210300649
15,-1.3285822865039822
16,-1.4791811798699883
17,-1.3362360383089538
18,-1.2892245795601205
19,-2.450503259544259
20,-1.33147840758168
21,-1.0586584893901374
22,-1.1808148090494839
23,-1.5961258455787786
24,-1.5737217923782425
25,-1.204461075276114
26,-1.6807247869636055
27,-1.8940834294191575
28,-1.2596837722053202
29,-1.6006051777623935
30,-1.0912288432783053
31,-2.100496158008635
32,-0.985931202558948
33,-1.5868229025734175
34,-1.3863237788562461
35,-1.51109616481681
36,-1.181002294646675
37,-1.073999166917967
38,-1.6789214110185826
39,-0.9166537502520066
40,-0.6282338970553366
41,-0.5308200455721485
42,-1.2381185309398586
43,-1.5070130835102764
44,-1.5821263751408075
45,-1.666395814913098
46,-2.319220463808824
47,-1.1339415918688143
48,-1.880756589005534
49,-1.8812629234248814
50,-1.8431392858626565
51,-0.7915804579399108
52,-1.7226658889136461
53,-1.725791521399654
54,-1.3633561454635275
55,-1.313183914178476
56,-1.3047363234884508
57,-1.6336867525326333
58,-1.310988125831017
59,-1.366525645727302
60,-1.0925166481007222
61,-1.345482482665464
62,-1.8010152324488877
63,-2.193569205621241
64,-1.0863289191204826
65,-0.7896021707554391
66,-0.9994659287755431
67,-0.8035074294302607
68,-1.2592163469891142
69,-1.4146065433799435
70,-2.11789637178588
71,-1.2005013833043539
72,-1.5099419652509594
73,-1.4118220189576258
74,-0.8274007919519226
75,-0.9077002482565664
76,-1.193373727274327
77,-1.819754633602992
78,-1.2592793304627277
79,-1.5567426046522062
80,-1.6255403718076533
81,-1.2664527646276984
82,-1.3258466737632153
83,-1.1252944000367815
84,-0.923905496854752
85,-1.817890132444448
86,-1.8208209669342315
87,-0.5765770946294817
88,-1.0226700393476293
89,-1.3143142322961183
90,-0.9322172073400061
91,-1.2997543470241488
92,-0.7413506281696216
93,-1.6068851032754778
94,-0.6493762132529214
95,-2.4040017889915006
96,-1.5233060445876723
97,-2.4517937463468047
98,-1.3229130074447981
99,-1.381589866678542
100,-1.368468961879823
101,-1.224908460468705
102,-1.6630947147929909
103,-0.8869011633548408
104,-1.2673311613179206
105,-1.4359133421459895
106,-1.1298850030058734
107,-2.127349934414097
108,-1.0511723366918428
109,-1.903519599043788
110,-0.9638415655166966
111,-1.9662579537612142
112,-1.3015968757598264
113,-1.035965685150127
114,-1.6467128813631533
115,-1.8859336006871428
116,-2.207742254143944
117,-1.0406742379189662
118,-1.3702499330724056
119,-1.624830952968156
120,-2.239639541811264
121,-1.5123033310747187
122,-0.5878005564309303
123,-1.072621645120029
124,-0.5640096701121428
125,-1.737076968583688
126,-1.9673529431407706
127,-0.961196661627585
128,-1.463108996875586
129,-0.937748510129731
130,-1.2229596286240891
131,-0.7554200903700802
132,-1.664934859394263
133,-1.6818200503443153
134,-1.2568795255950034
135,-1.318330797296967
136,-1.0353632686083336
137,-0.9812052945240514
138,-1.2506364399792795
139,-1.45362419268628
140,-1.4660287694705028
141,-1.613466970302415
142,-1.0108754670046056
143,-0.7604953423683338
144,-1.3134615486723678
145,-1.3274212185013672
146,-0.9643037104452562
147,-1.1286344160183583
148,-2.1018608318654377
149,-1.9241202950358338
150,-1.6084014459810212
151,-1.2501871304943024
152,-1.6728342608741804
153,-1.288098824720785
154,-0.641491974046617
155,-0.9384270055851794
156,-2.861415386740373
157,-1.5586614948709039
158,-1.4967367976792418
159,-0.9748874070126199
160,-0.90874107753177
161,-1.252379963305988
162,-1.1352731209420237
163,-1.217865947150385
164,-1.0383186518869318
165,-1.3297852625757198
166,-1.6369932393948365
167,-0.829140559345786
168,-1.4634085397397247
169,-1.2870489933983504
