,IC objective optimistic
0,-0.34747762037943014
1,-1.3340294914773554
2,-0.22536762928130993
3,-0.610348133164131
4,-0.49456502840271827
5,-0.6755935914577179
6,-0.4461248487891538
7,-1.0034525232910427
8,-0.5852228118133354
9,-0.473573108481594
10,-0.5901247598503022
11,-0.319791903387994
12,-0.7513671070477973
13,-0.8721462744754774
14,-0.6869139130567581
15,-0.5645486186162806
16,-0.9283855948209023
17,-0.6250415993241605
18,-0.46968585641377
19,-0.8527350089076281
20,-0.5945338371015445
21,-1.2518681342193592
22,-0.7240755672093919
23,-0.37701958046464157
24,-0.660008866967027
25,-0.3165722134576261
26,-0.6145187377710162
27,-1.027962411218127
28,-0.4767013605921055
29,-0.6383469096124567
30,-0.7370471040294144
31,-0.6846275179204838
32,-0.3282721241031862
33,-0.6641392866243652
34,-0.6599271889280651
35,-0.6548898588248362
36,-0.7901594587686006
37,-0.7583031705895981
38,-0.5909631772149305
39,-0.9213313249303882
40,-0.3702704277488444
41,-0.44201298859406624
42,-1.4051191034340904
43,-0.887968776871218
44,-0.2500948539465568
45,-1.0602587466057862
46,-0.6535416163366035
47,-0.47903704897435084
48,-0.7071084811060272
49,-0.444520805519119
50,-0.5246712344656722
51,-0.4317256833537619
52,-0.5902078745612542
53,-0.6286394064116057
54,-0.5966694848012968
55,-0.6570132119683497
56,-0.5259757700251074
57,-0.6099580795054516
58,-0.4584481780257209
59,-1.2140331502936603
60,-0.751484358349268
61,-0.8119879471468189
62,-0.8108564638613794
63,-0.4856841581797048
64,-0.6796263263437495
65,-0.34605264093747384
66,-0.2389614805661058
67,-0.41649458353070257
68,-0.5531126375145288
69,-0.8596420827205703
70,-0.6211163597867512
71,-0.5459144152453796
72,-0.8886348959767547
73,-0.7766243440929134
74,-0.5206737116394331
75,-0.2132905070200688
76,-0.7216227617130055
77,-0.40810363250747345
78,-0.20693174668050904
79,-0.6701714269518236
80,-0.5910778656052315
81,-0.6725638746572858
82,-0.7718013109264172
83,-0.7390927448793706
84,-0.3914272735481728
