,IC objective pessimistic
0,11.593662253059437
1,11.570547968198596
2,7.712210921320595
3,11.625520922648114
4,11.564622084489768
5,11.623453674758935
6,11.591905026302058
7,11.570638458382588
8,11.624641217123147
9,8.357392363400558
10,11.602352319622582
11,7.6462395986822225
12,11.586916634455813
13,11.571984403970964
14,11.575045231086996
15,11.58119782305097
16,11.57388182054743
17,11.586237855281931
18,11.62737922862681
19,11.570829826954084
20,11.603378594339828
21,11.570526814255759
22,11.57993977214016
23,8.418261629998042
24,11.597599762200668
25,11.27267353502591
26,11.59475309835584
27,11.570659071144263
28,11.62754964101035
29,11.583046820378557
30,11.572658663249538
31,11.583498265797965
32,11.60551836706552
33,11.606834745978158
34,11.599409963263774
35,11.608269815945384
36,11.57257324266339
37,11.58744610479695
38,11.625244604491412
39,11.578780068945742
40,11.611012564390055
41,11.587998064901791
42,11.570526792911592
43,11.580067054624035
44,7.275960239700036
45,11.570551091220784
46,11.607287534378013
47,11.61813157853176
48,11.609624373734537
49,7.6929173488512586
50,11.626069526855746
51,11.630397312946473
52,11.578596536287986
53,11.58116152085676
54,11.584050595402584
55,11.59602114981847
56,11.611086904995439
57,11.604221296505782
58,11.608860093169582
59,11.57059019790422
60,11.606316646730194
61,11.57104889510479
62,11.571905338474114
63,11.584479349873225
64,11.614184053329838
65,8.357522994168153
66,7.694890453770508
67,11.570459994076733
68,11.61336484809572
69,11.570646669338425
70,11.579556394785184
71,11.596340937991874
72,11.571046067651121
73,11.570986542536362
74,11.612915957433133
75,7.456245139362007
76,11.571142881790605
77,7.6604452223161354
78,7.214154546905313
79,11.595731262984884
80,11.60124445991778
81,11.579123368292912
82,11.570582918465982
83,11.571600401473672
84,11.58526340562816
85,7.700074985794366
86,11.587108045112872
87,11.598008222944395
88,11.540691101502453
89,7.724883689425686
90,11.576546201346133
91,11.580103343317433
92,11.440656591469896
93,11.600598255619637
94,11.60381422133976
95,7.721354994687469
96,11.364985928397578
97,6.830169039481072
98,11.610941348157832
99,11.619594037000057
100,11.611768033685133
101,11.355637702377152
102,11.57136730073177
103,11.594063111811835
104,7.512586882944936
105,11.612352453346798
106,11.605174675161992
107,11.580580916447984
108,11.604340822869355
109,11.589803245455295
110,11.584227516406807
111,11.616895400092439
112,7.687688084435399
113,11.590607442021575
114,7.182852560392262
115,7.721154502858554
116,11.583640144165397
117,11.597670128369616
118,11.572450769831095
119,11.619235611384974
120,11.634499232894706
121,11.621233257390609
122,11.570635398339748
123,11.585554713423718
124,11.577465108284773
125,11.582775483203708
126,11.571350178388823
127,11.57052684842366
128,11.619358115671755
129,11.58622845521021
130,11.624839197246496
131,11.57277953278669
132,11.626549106954025
133,11.622272742647409
134,11.57813201905629
135,7.714965909247513
136,11.57186491989624
137,11.582971771080706
138,11.600026742698953
139,7.458956602686591
140,11.621798404353326
141,11.600513322961845
142,11.571625440278396
143,11.584624869823855
144,11.578172966261617
145,11.630693543030507
146,11.628746763579953
147,11.57280213372187
148,11.442097262769993
149,11.509035471123564
150,11.63424817672282
151,11.572197535795294
152,11.643090046963465
153,11.634826087303814
154,11.58539043963599
155,11.571481276961661
156,11.608042218088757
157,11.410853099924434
158,11.578609799115675
159,11.571489767909945
160,11.592112675388124
161,11.570526771115015
162,11.610059913555572
163,11.570608429123556
164,11.590227641848537
165,11.571353396132087
166,11.570595970200477
167,11.595142388996846
168,11.597291258907488
169,11.574507864416756
170,11.621678765448584
171,11.60306233140525
172,11.570607745701743
173,11.615356074697214
174,11.611003627613602
175,11.580339555604464
176,11.363986928556567
177,11.595925060609861
178,11.640036507119174
179,11.616740927829278
180,11.62025380013629
181,11.588364567934773
182,11.589331023718723
183,11.57149336839562
184,11.655965383570372
185,11.583594543660979
186,11.573095405047784
187,11.595011546196314
188,8.465112740514051
189,11.606854999593802
190,11.591086295589333
191,11.604479522812937
192,11.601288673697825
193,11.571804245559278
194,11.570557992899971
195,11.625019749265137
196,11.57321058090121
197,11.576217385527766
198,11.633638264305839
199,11.572864167131934
200,11.572944846326221
201,8.4356899831775
202,8.440776984427115
203,11.571124139236913
204,8.383377573169568
205,11.572748255589467
206,11.620627472061187
207,11.6164161067215
208,11.478398487287476
209,11.596965436306476
210,11.583894970933493
211,11.578415244036403
212,11.609284296409768
213,7.639495616067152
214,11.571191637621057
215,11.592301149944252
216,11.58333597845161
217,11.601431024220922
218,11.627809497255313
219,11.570780928476662
220,11.574047004887303
221,11.579158520200433
222,11.421281097344874
223,11.571733235375671
224,11.589804927865163
225,11.570526674592257
226,11.600438324217345
227,11.571305182122448
228,11.609249530987723
229,11.607628775243517
230,11.598400080550226
231,11.596540585728007
232,11.578314727284974
233,11.571205006774287
234,11.57492551379736
235,11.570637593908165
236,11.625097029488956
237,11.605616925488246
238,11.543117479022362
239,11.570526804987551
240,11.533685441456011
241,11.607549599371275
242,11.592861080998347
243,11.601608417929883
244,11.571231054914668
245,11.620717805165715
246,11.5897216422155
247,11.59006906592114
248,11.604791115913503
249,11.615763960574327
250,11.612681012596058
251,11.63013520796487
252,11.617392943579441
253,11.604546958557833
254,11.607137824705138
255,11.587558792574185
256,11.578030783435011
257,7.279475811091
258,11.57967116663912
259,7.183110668399745
260,11.612204092833748
261,11.593876232736827
262,7.66379175514991
263,11.62680220269515
264,11.606460987043198
265,11.5673130939326
266,11.572003538410618
267,11.596649438226521
268,7.74752342492254
269,11.618867843475364
270,11.57083945628586
271,11.57684526489094
272,11.63485507088907
273,11.59313046555147
274,11.598003046034599
275,11.638701857545994
276,11.58309448233724
277,11.602792012705661
278,11.580807702386384
279,11.571177983013587
280,7.7284288852062994
281,11.629777823712816
282,11.62049528855253
283,11.586993316443955
284,11.574158147176238
285,11.60217292069625
286,11.570532120151071
287,11.585146325999743
288,11.624441786659617
289,11.598471359782614
290,11.574314602220014
291,11.571790961831388
292,11.570615480335492
293,11.626523391330212
294,11.605846388179284
295,7.6937337757285436
296,11.604562968875086
297,7.424817626538499
298,11.570543964680757
299,11.583073016617739
300,11.537138710852929
301,11.618358021248742
302,11.585846691923841
303,11.614767695021765
304,11.633062127815142
305,11.570545344629023
306,11.617913629978565
307,11.570546839701537
308,11.586978407642723
309,11.640798101355873
310,11.597953729026058
311,11.612375837958156
312,11.580849126614954
313,11.58851115560866
314,8.326520152010284
315,7.335136874921931
316,11.593501970308779
317,11.605741828068572
318,7.354029879429802
319,11.573058117380256
320,11.610460614667657
321,11.621552028509921
322,11.570552270885875
323,7.2247920816706275
324,11.587868999499582
325,11.5705386826119
326,11.618771103060629
327,11.615708784643365
328,11.58710223134985
329,11.624764570164876
330,11.579382794432107
331,11.596859910722879
332,11.589340376693668
333,11.610132226782444
334,11.579065163552347
335,11.578946357725853
336,11.634169070903786
337,11.596425304029072
338,11.570728941140967
339,11.609350025320408
340,11.631384334977504
341,11.57279754412949
342,11.64727547399829
343,11.57067937548769
344,7.730450764717262
345,11.638907393543704
346,8.351940101737203
347,11.607186359937304
348,11.59342393772979
349,11.571077348418696
350,11.581494355686393
351,11.62532174203609
352,11.59232180590054
353,11.574677441119652
354,11.629398718459395
355,11.513024950204802
356,11.571314846825473
357,7.766306964993031
358,11.61406813048317
359,11.607989905925406
360,11.60095422655175
361,11.605963903041927
362,7.55545617419562
363,11.570927146964278
364,11.592922002276746
365,11.600569815612179
366,11.602520407215478
367,11.603665423398304
368,11.59378278578382
369,11.62935554146392
370,11.610420001151299
371,11.527724346296477
372,11.573319684792411
373,11.584978215024853
374,11.573145534220568
375,11.565503677932567
376,7.791112052104344
377,7.739084570355158
378,11.61163462107829
379,11.583471531267353
380,11.63083211188919
381,11.596855203991439
382,11.570526583980897
383,11.604386583617014
384,11.598295924761715
385,11.570537360314516
386,11.596057091822132
387,11.618564546921545
388,11.570526779835523
389,11.570526695593529
390,11.593504926513724
391,11.583863150211004
392,7.689771439621571
393,11.610607013335963
394,11.587813234629133
395,11.619990987391848
396,11.580402936675261
397,11.592287525444544
398,11.573869467580698
399,11.618020424719251
400,11.616830658796756
401,11.589583389954841
402,11.610477432062432
403,7.326249186317072
404,11.602949411809623
405,11.631598500288218
406,11.614773428497626
407,11.606516974337215
408,11.570898153576868
409,11.58050847231803
410,11.612603051630854
411,11.584760902278402
412,11.491534994369358
413,11.5789249435809
414,11.570549398038978
415,11.611499314191619
416,11.580159459986437
417,11.543314596392731
418,11.599361284450778
419,11.618352433278707
420,11.525186954570596
421,11.608731371269329
422,11.603306308506662
423,11.598788070289695
424,11.58591769712043
425,11.6171924052229
426,11.601204719445855
427,11.571648985203275
428,11.58303382806259
429,11.593237204858992
430,11.643394089237367
431,11.586001495565322
432,11.645490806069263
433,11.571906544127469
434,11.58158047084469
435,11.576613647198366
436,11.585514384720568
437,11.579669233619269
438,7.700748888493172
439,11.57984260296519
440,11.571815171305882
441,11.572513020685252
442,11.589959141215523
443,11.570526816689933
444,11.610141569881494
445,11.595317717325544
446,11.365507569798202
447,11.582528978694349
448,11.596852505516564
449,11.588001444081819
450,11.604823467640214
451,11.57080163703282
452,11.580630962883781
453,11.572963525701285
454,11.605862468131331
455,11.611789217294831
456,11.620003867160321
457,11.576306531778048
458,11.585303610446271
459,11.575292470914123
460,11.595949397204631
461,11.597632048999921
462,11.579715680686407
463,11.620667778381854
464,11.613424410494517
465,11.589092341791082
466,7.6554377387845225
467,11.622251899150468
468,11.582422401040686
469,11.57053663500905
470,11.571026462492009
471,11.577646016549926
472,11.5784874558751
473,11.634576274172666
474,7.732109718892225
475,11.609576243749117
476,11.570641806133647
477,7.710080988774234
478,8.35202087136487
479,11.573339053113271
480,11.630633518483982
481,11.606440962576402
482,11.577348185419446
483,11.584358007931419
484,7.705974222159508
485,8.41561371025102
486,11.607169600996983
487,11.60477214789792
488,11.571067407526463
489,11.59571810768791
