,IC objective pessimistic
0,-0.01294502096926502
1,-0.013562223781518746
2,-0.02549179631675274
3,-0.027806733654738125
4,-0.014305946525603191
5,-0.02671066076138299
6,-0.03150022397840229
7,-0.02574417988446166
8,-0.029112156078209942
9,-0.01738445838639395
10,-0.016223862209518783
11,-0.01613983922584579
12,-0.02123886910941734
13,-0.018704160099479786
14,-0.02688031369985177
15,-0.022477030708686264
16,-0.01402567284381431
17,-0.01952432618557343
18,-0.03303386577169067
19,-0.03106852644056787
20,-0.02824255741215073
21,-0.017528463156040414
22,-0.018958770554879482
23,-0.02818087082227031
24,-0.020116109082666794
25,-0.025125956598872765
26,-0.0256854893012274
27,-0.01785783859320317
28,-0.027911399192380424
29,-0.037737216445458056
30,-0.027200704420125656
31,-0.029250311140139304
32,-0.0189418541347285
33,-0.0209284496790704
34,-0.0314640101528687
35,-0.025939848469679685
36,-0.021465855990052126
37,-0.0230406370514263
38,-0.02706546472444161
39,-0.016636683938482645
40,-0.020161082964894307
41,-0.009924559591974788
42,-0.011262784839466085
43,-0.022362974366605205
44,-0.02813682795522224
45,-0.02521080427633786
46,-0.01962492000706024
47,-0.027884927547478445
48,-0.020524166262277183
49,-0.023043662850676584
50,-0.029096944820744892
51,-0.027891645201941265
52,-0.02951958078115485
53,-0.026564162539765672
54,-0.016477729823153597
55,-0.029398033119602037
56,-0.020029745981277346
57,-0.020274705427344577
58,-0.02014643303405764
59,-0.015526600956115242
60,-0.017943461503471307
61,-0.023649807413483142
62,-0.03437387437591271
63,-0.03575508947546272
64,-0.025470287256882825
65,-0.01758909754722545
66,-0.022675466286397643
67,-0.02266445796115378
68,-0.02216201382299465
69,-0.020813703585527036
70,-0.026916871603681468
71,-0.017103044891478424
72,-0.024593298044348615
73,-0.036730314156868386
74,-0.021200606125224418
75,-0.021489743028261864
76,-0.015271398732261868
77,-0.018290158212399335
78,-0.020637920109739662
79,-0.03761945162968688
80,-0.028082548945807907
81,-0.02287043991614802
82,-0.029365239070712944
83,-0.02243836846152001
84,-0.02533090029379575
85,-0.023195884596820225
86,-0.03621319185701421
87,-0.014345039299328441
88,-0.026146639876133387
89,-0.028219770938257564
90,-0.012672439231561047
91,-0.02543976328111524
92,-0.015150119579724652
93,-0.017811307198201873
94,-0.016957966006013386
95,-0.026524788785151215
96,-0.02743021231063179
97,-0.030222369593327636
98,-0.021859041777052824
99,-0.027402633798307364
100,-0.020383328497190763
101,-0.02830626808450386
102,-0.02372045237804775
103,-0.023442752984365215
104,-0.02968817254936425
105,-0.026319218160862367
106,-0.023431821442838344
107,-0.02096181381120425
108,-0.02291919842727967
109,-0.012871020686330632
110,-0.03152107231404543
111,-0.034020223071865294
112,-0.02144163470774087
113,-0.019698198302879704
114,-0.017270193569723428
115,-0.02638808412553603
116,-0.03872388471516854
117,-0.02064174134284202
118,-0.029539053384897394
119,-0.02569751374465822
120,-0.030976659200525787
121,-0.024363812686645257
122,-0.0138498948821277
123,-0.021695812146512294
124,-0.015341149125162669
125,-0.03531004439407233
126,-0.014666264564187887
127,-0.028551023934808444
128,-0.02569616572879955
129,-0.012687777809963559
130,-0.0255757491723647
131,-0.01618139189106441
132,-0.028658802931552898
133,-0.03353587203309924
134,-0.03368389061118636
135,-0.026169893865173915
136,-0.024277328845102957
137,-0.022848570059488153
138,-0.024063018881283437
139,-0.022350093575610266
140,-0.02492505758536664
141,-0.018156143381830293
142,-0.022731794908656563
143,-0.02474544313781683
144,-0.03317083359423679
145,-0.03001348196466256
146,-0.031119723455039692
147,-0.027572247263039234
148,-0.019339575438244876
149,-0.03635743864764882
150,-0.03343846958648901
151,-0.012603138374784556
152,-0.0341776402440303
153,-0.03170703708798379
154,-0.010798226272184163
155,-0.014731539850765703
156,-0.031555188828942954
157,-0.02245252373089993
158,-0.026748042864587897
159,-0.020375371832760884
160,-0.016603937452869522
161,-0.029884551184935163
162,-0.019553088162244037
163,-0.016092129592109844
164,-0.03419786682335926
165,-0.033276267398552134
166,-0.03063299015264718
167,-0.014266606458949994
168,-0.020510070826141907
169,-0.02260030142654536
170,-0.02478568545238661
171,-0.016972889374234124
172,-0.025065822261590542
173,-0.027767083774517278
174,-0.021248216161547102
175,-0.026596592895912527
176,-0.02728001199164555
177,-0.016902476909636057
178,-0.03597482982551963
179,-0.024910248744137522
180,-0.027186416302434933
181,-0.025463316439923753
182,-0.02366895474051562
183,-0.016278516193720324
184,-0.0395078826472845
185,-0.029222172796750098
186,-0.02965709011309572
187,-0.02572010400518789
188,-0.036284624971104025
189,-0.02488855001320443
190,-0.023852335024976537
191,-0.01687947548537048
192,-0.03181254128663084
193,-0.02138902256565724
194,-0.025528045419701013
195,-0.030169530135465656
196,-0.028685779073926953
197,-0.03200745468407476
198,-0.03165475970042944
199,-0.024006353263906197
200,-0.028197181714693355
201,-0.031203018427576855
202,-0.032318657119154326
203,-0.0357004601965903
204,-0.02258588465839483
205,-0.02907530599093858
206,-0.029451908201720486
207,-0.02855354356105441
208,-0.02751351184243589
209,-0.014323231255998005
210,-0.029602947830192523
211,-0.026505395511407195
212,-0.019083376636669633
213,-0.014496432434991557
214,-0.032885307798169935
215,-0.014329792462133057
216,-0.024630666231908217
217,-0.021170607991265078
218,-0.028887919978959856
219,-0.018037049774331942
220,-0.016579044378489314
221,-0.03520533949552271
222,-0.01469645327130332
223,-0.010433553752386922
224,-0.030914055624972667
225,-5.044960969702899
226,-0.03182332472617225
227,-0.028181594952791197
228,-0.02006700523629703
229,-0.03102438037115553
230,-0.02812581995877311
231,-0.01506632705779395
232,-0.029990523525129275
233,-0.017977583657046752
234,-0.012224473150843662
235,-0.028195903695914053
236,-0.03048233151015984
237,-0.020775782825580538
238,-0.018533620943384604
239,-0.035579708748633546
240,-0.023798229386184838
241,-0.03090368461835601
242,-0.02310933304304505
243,-0.03329041599223293
244,-0.033482740037820834
245,-0.029112742058379187
246,-0.027383654897213026
247,-0.01759582739379117
248,-0.020160561542656233
249,-0.022334458904052258
250,-0.0223898120512384
251,-0.040441227381403114
252,-0.02936965579248152
253,-0.032148247373713974
254,-0.023859641733789624
255,-0.016573972869649737
256,-0.03180068249681858
257,-0.029136403884714477
258,-0.01692575875806228
259,-0.015808584563785
260,-0.0226680163824046
261,-0.02946027100234362
262,-0.01894584026521419
263,-0.031532268583839326
264,-0.02138592205225333
265,-0.028074376204816665
266,-0.0242517633191843
267,-0.017230301744294747
268,-0.030649130996867394
269,-0.024907063657777558
270,-0.02484786819100959
271,-0.020682919743847207
272,-0.030366289229202374
273,-0.01615039852551127
274,-0.017042018284753217
275,-0.03306493956397246
276,-0.023628156539384316
277,-0.02541758911380012
278,-0.014789681035394504
279,-0.03745582103852022
280,-0.028561814968847857
281,-0.02894829628048651
282,-0.028284060646742337
283,-0.01717739519605814
284,-0.016334897476269716
285,-0.02207695703783313
286,-0.02139989881226847
287,-0.020942846765713546
288,-0.025164265269320023
289,-0.023308408449169475
290,-0.021340838719627043
291,-0.028825785223813818
292,-0.017317918320941532
293,-0.02695997467937999
294,-0.019128660019728457
295,-0.022705034510670713
296,-0.018826781843174097
297,-0.016824029285742205
298,-0.027685882783580452
299,-0.016667471916670003
300,-0.0251286320617926
301,-0.024591368545629322
302,-0.021708502982071325
303,-0.030364059457248977
304,-0.038046914985827934
305,-0.01988722608076585
306,-0.02873396083692105
307,-0.018399202979309966
308,-0.026601051193528933
309,-0.033476220963738264
310,-0.015204725937519575
311,-0.021434307743824602
312,-0.02830277734158193
313,-0.031172563649300718
314,-0.013553225227025588
315,-0.03665612672245683
316,-0.013530535643510729
317,-0.025535208144474922
318,-0.03868654880325416
319,-0.026737410466310063
320,-0.022830976814340036
321,-0.029120254410677834
322,-0.024886680675290727
323,-0.021379046018705945
324,-0.020715439183379928
325,-0.015254851396952259
326,-0.029787051937289154
327,-0.028305713625494118
328,-0.02888692020922654
329,-0.02710370359807939
330,-0.016924697465091277
