date,time,air1,clotheswasher1,dishwasher1,dryg1,furnace1,grid,microwave1,oven1,refrigerator1,solar,demand,difference
2018-01-01,02:00:00,-0.002,0.001,0.002,0.001,0.325,0.601,0.003,0.006,0.118,-0.004,0.454,0.14299999999999996
2018-01-01,02:15:00,-0.001,0.001,0.002,0.001,0.295,0.457,0.003,0.007,0.004,-0.005,0.312,0.14
2018-01-01,02:30:00,-0.001,0.001,0.002,0.001,0.372,0.532,0.003,0.007,0.004,-0.004,0.389,0.139
2018-01-01,02:45:00,-0.002,0.001,0.003,0.001,0.574,0.728,0.003,0.006,0.004,-0.004,0.59,0.134
2018-01-01,03:00:00,-0.003,0.001,0.003,0.001,0.571,0.805,0.003,0.005,0.084,-0.003,0.6649999999999999,0.13700000000000012
2018-01-01,03:15:00,-0.003,0.001,0.003,0.001,0.47,0.754,0.003,0.005,0.132,-0.003,0.612,0.139
2018-01-01,03:30:00,-0.001,0.001,0.002,0.001,0.324,0.527,0.003,0.006,0.044,-0.004,0.38,0.14300000000000002
2018-01-01,03:45:00,-0.001,0.001,0.002,0.001,0.297,0.459,0.003,0.007,0.004,-0.005,0.314,0.14
2018-01-01,04:00:00,-0.001,0.001,0.001,0.001,0.292,0.454,0.003,0.007,0.004,-0.005,0.308,0.14100000000000001
2018-01-01,04:15:00,-0.001,0.001,0.001,0.001,0.257,0.443,0.003,0.007,0.026,-0.005,0.29500000000000004,0.14299999999999996
2018-01-01,04:30:00,-0.002,0.001,0.002,0.001,0.286,0.566,0.003,0.006,0.122,-0.004,0.419,0.14299999999999996
2018-01-01,04:45:00,-0.001,0.001,0.001,0.001,0.226,0.39,0.003,0.007,0.003,-0.005,0.24100000000000002,0.144
2018-01-01,05:00:00,-0.001,0.001,0.001,0.001,0.248,0.413,0.003,0.007,0.003,-0.005,0.263,0.14499999999999996
2018-01-01,05:15:00,-0.001,0.001,0.001,0.001,0.258,0.421,0.003,0.007,0.004,-0.005,0.274,0.14199999999999996
2018-01-01,05:30:00,-0.002,0.001,0.002,0.001,0.306,0.541,0.003,0.006,0.079,-0.004,0.396,0.14100000000000001
2018-01-01,05:45:00,-0.002,0.001,0.002,0.001,0.354,0.64,0.003,0.006,0.13,-0.004,0.495,0.14100000000000001
2018-01-01,06:00:00,-0.001,0.001,0.001,0.001,0.166,0.392,0.003,0.007,0.052,-0.005,0.23,0.157
